resolution,dx,profile,index,sample,defect_peak_abs,defect_support_px,visibility_z,visibility_ratio,ideal_visibility_z,ideal_visibility_ratio,signal_retention_mask,relative_delta_mean,relative_delta_mask_mean,corr_ix_vs_ideal,corr_iy_vs_ideal,mask_mean_di,bg_mean_di,bg_std_di
64,3.12,near_identity,0,sample_0000,0.30165812373161316,10,21.095559990297467,154.27290323470345,46.159053337508404,933.1682904022312,2.475081863659337,6.244311332702637,2.5836455821990967,0.05486508716111116,-0.26259147804093624,1.2840402126312256,0.008323173969984055,0.0604732483625412
64,3.12,near_identity,1,sample_0001,0.12469366192817688,7,47.388051075664855,340.9552561473748,26.332847625685446,842.3755729905474,12.080046985731272,19.108518600463867,12.351653099060059,-0.2939558747425469,0.8580213821492261,1.070101022720337,0.003138537984341383,0.02251543290913105
64,3.12,near_identity,2,sample_0002,0.08706062287092209,5,11.280606012518671,122.53713367108669,42.459809033980136,1195.9827937133755,3.709340123655998,16.39230728149414,3.515031099319458,0.6207803199607537,0.9240879522655762,0.26025325059890747,0.0021238725166767836,0.022882580757141113
64,3.12,near_identity,3,sample_0003,0.14414919912815094,214,7.477576524894239,15.608652533806572,11.708993963855395,88.64342848476012,4.096031427558759,7.619359493255615,4.372044086456299,0.07943485440557999,-0.06424528829780832,0.6645417809486389,0.04257521778345108,0.08317755907773972
64,3.12,near_identity,4,sample_0004,0.2100750356912613,119,4.661627594956635,10.856181301693303,9.641551384854312,73.04368379140259,1.4529219800160458,4.492969989776611,1.9636150598526,-0.08812742642495963,-0.02400636912837781,0.7682207226753235,0.07076343894004822,0.14961668848991394
64,3.12,near_identity,5,sample_0005,0.29411783814430237,122,8.977388619856653,21.838449483074463,11.852975919960725,74.68380730132057,4.072873903957768,7.348241329193115,4.317709445953369,-0.14184849686366566,-0.10545466115569908,1.2627688646316528,0.057823192328214645,0.13422006368637085
64,3.12,near_identity,6,sample_0006,0.2556737959384918,111,8.893241476093941,21.987493351074832,12.055863211846424,84.38295421426741,4.081705659738809,7.736006259918213,4.232944965362549,-0.06612640281088318,-0.016728376818696884,1.1041858196258545,0.05021881312131882,0.11851325631141663
64,3.12,near_identity,7,sample_0007,0.22781510651111603,5,58.170558083948315,413.16164856640256,17.422779531097532,748.9636255599795,15.766965071837264,22.479934692382812,15.108201026916504,0.8980454672901551,-0.051044407174822344,1.6182838678359985,0.003916829824447632,0.027752304449677467
64,3.12,near_identity,8,sample_0008,0.14925335347652435,64,4.118702709082313,12.952815831009353,4.603803257181418,37.38575652020291,2.374511500415713,5.467324733734131,2.6197938919067383,-0.007213764158604351,0.05233649304289825,0.4817449152469635,0.037192292511463165,0.1079351082444191
64,3.12,near_identity,9,sample_0009,0.23388078808784485,43,3.599504374308745,13.751964736914084,4.566898183739947,42.90448210268205,3.760196820073438,9.39084243774414,3.958371639251709,0.029881000560493608,-0.03693945233968105,0.6005213856697083,0.04366804286837578,0.1547027826309204
64,3.12,near_identity,10,sample_0010,0.21830163896083832,117,7.636327317082626,16.97222141967572,9.078749881340084,57.91454075006267,2.8383117106136204,5.68222188949585,3.098193407058716,-0.09564772446191296,-0.08632568245108256,0.9260508418083191,0.05456273630261421,0.11412398517131805
64,3.12,near_identity,11,sample_0011,0.33082783222198486,325,5.462900570428404,9.620022230285874,8.020965957591939,66.82462884062697,1.3624034019331137,3.0119128227233887,1.7957959175109863,0.0411343096582167,-0.0408782868796354,1.257818341255188,0.13075004518032074,0.20631316304206848
64,3.12,near_identity,12,sample_0012,0.11915162950754166,145,5.881198330253543,13.025585890134389,6.80639353488545,57.79935041103083,1.497456928483582,3.545990228652954,1.8962770700454712,-0.08641264776633824,0.05605537011621603,0.5404221415519714,0.04148927703499794,0.0848352387547493
64,3.12,near_identity,13,sample_0013,0.029531186446547508,4,18.883636837624397,201.24088644659116,23.562942240952843,753.4766062912314,3.739911129273753,9.664847373962402,3.4843688011169434,0.8954422940660478,0.2613407675591366,0.15355297923088074,0.0007630307227373123,0.00809112936258316
64,3.12,near_identity,14,sample_0014,0.21703191101551056,118,9.587824924492425,21.380158496661554,10.532263002097402,69.09453000169079,4.922531661012487,8.65374755859375,4.9961442947387695,0.016709539962016677,-0.08120182600675953,0.8225072026252747,0.03847058489918709,0.08177419006824493
64,3.12,near_identity,15,sample_0015,0.05553796514868736,2,21.74343315903259,239.48902694142745,19.768682138065607,651.4318971200709,4.583777558320122,10.565973281860352,3.8276426792144775,-0.3933571130222201,0.589043417068102,0.2833651006221771,0.0011832070304080844,0.012977798469364643
64,3.12,weak,0,sample_0000,0.30165812373161316,10,0.9747206635571624,12.596062077691261,46.159053337508404,933.1682904022312,0.3564210624760378,8.848421096801758,1.0387160778045654,0.05647576159640823,0.008952254923124955,0.18490660190582275,0.014679715037345886,0.1746417135000229
64,3.12,weak,1,sample_0001,0.12469366192817688,7,1.7603709940204308,20.166437615169823,26.332847625685446,842.3755729905474,1.3277671087601424,23.873071670532227,1.9753350019454956,0.013792503814628394,-0.06349182223956444,0.11761915683746338,0.005832421127706766,0.06350180506706238
64,3.12,weak,2,sample_0002,0.08706062287092209,5,0.8778616906635339,10.045792612874118,42.459809033980136,1195.9827937133755,0.4882324188209513,24.565942764282227,1.3934458494186401,-0.02882681855995476,-0.0035630259484396047,0.034255169332027435,0.003409902099519968,0.03513681888580322
64,3.12,weak,3,sample_0003,0.14414919912815094,214,1.3301275593839526,10.351975693231386,11.708993963855395,88.64342848476012,3.672885785875876,8.815047264099121,4.125220775604248,-0.002160294664502252,0.03687207476065286,0.595890462398529,0.057562969624996185,0.40471869707107544
64,3.12,weak,4,sample_0004,0.2100750356912613,119,1.1437073294160576,6.502640508658323,9.641551384854312,73.04368379140259,0.91110582035454,4.394150257110596,1.5289417505264282,0.008797406529947687,0.009616154018621967,0.4817398190498352,0.07408372312784195,0.3564339280128479
64,3.12,weak,5,sample_0005,0.29411783814430237,122,3.528030505042152,18.18554168330462,11.852975919960725,74.68380730132057,3.4019036194145342,7.269088268280029,4.12038516998291,-0.09536819704125502,0.0785809892507369,1.0547387599945068,0.05799875408411026,0.28252023458480835
64,3.12,weak,6,sample_0006,0.2556737959384918,111,2.1897120867418183,15.548112034490421,12.055863211846424,84.38295421426741,2.9416251853000848,7.355512619018555,3.5291829109191895,0.014627787608651473,0.0175159157815097,0.7957704663276672,0.051181163638830185,0.34003981947898865
64,3.12,weak,7,sample_0007,0.22781510651111603,5,1.44679607949847,18.927383207121046,17.422779531097532,748.9636255599795,1.6868105340463622,35.98842239379883,1.8739311695098877,0.013586737425594325,0.029272966906801937,0.17313022911548615,0.00914707686752081,0.1133422702550888
64,3.12,weak,8,sample_0008,0.14925335347652435,64,1.1473445075962165,7.757662704845092,4.603803257181418,37.38575652020291,1.1950585964469018,4.7187042236328125,1.7805843353271484,-0.030946158217512988,-0.0052000878205764834,0.24245551228523254,0.03125368058681488,0.18407882750034332
64,3.12,weak,9,sample_0009,0.23388078808784485,43,3.926945623848086,20.437701840402116,4.566898183739947,42.90448210268205,3.7482150398139287,7.11916971206665,4.171469688415527,0.03229622085889539,0.04915582437452414,0.5986078381538391,0.02928939089179039,0.1449774205684662
64,3.12,weak,10,sample_0010,0.21830163896083832,117,1.3332239400050145,9.681551930095,9.078749881340084,57.91454075006267,1.677636049947825,5.335742473602295,2.2160587310791016,0.043142912630228444,0.04522994445110051,0.5473592877388,0.056536316871643066,0.36814743280410767
64,3.12,weak,11,sample_0011,0.33082783222198486,325,1.3682477013302654,7.395790007725963,8.020965957591939,66.82462884062697,1.1443137787084268,3.150346517562866,1.8198620080947876,0.016496873397101652,-0.01186291123819572,1.0564703941345215,0.14284753799438477,0.6677320599555969
